Datos_Completos
age,gender,Academic_Level,Country,avg_daily_usage_hours,Most_Used_Platform,affects_academic_performance,sleep_hours_per_night, mental_health_score ,relationship_status_single,conflicts_over_social_media,addicted_score
20,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,2,2
20,Male,Engineer,Mexico,3,Instagram,0,7,9,Single,1,2
20,Male,Engineer,Mexico,3,Instagram,0,7,9,Single,1,2
20,Male,Engineer,Mexico,3,Instagram,0,7,9,Single,1,2
21,Male,Engineer,Mexico,5,Instagram,0,4,9,Single,0,3
21,Male,Engineer,Mexico,5,Instagram,0,4,8,Single,0,1
22,Female,Engineer,Mexico,5,Instagram,0,6,9,Single,1,3
22,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,1,2
22,Female,Engineer,Mexico,5,Instagram,0,6,9,Single,1,3
20,Female,Engineer,Mexico,7,Instagram,0,6,8,Single,2,4
25,Female,Engineer,Mexico,7,Instagram,0,7,8,Single,4,4
24,Female,Secondary,Mexico,3,Instagram,0,6,9,Single,2,2
32,Male,Engineer,Mexico,5,Instagram,0,7,9,Single,1,3
18,Male,Engineer,Mexico,7,Instagram,0,8,8,Single,1,4
18,Female,Engineer,Mexico,3,Instagram,0,5,9,Single,0,2
21,Female,Engineer,Mexico,3,Instagram,0,7,9,Single,0,2
18,Male,Engineer,Mexico,5,Instagram,0,7,9,Single,3,3
18,Male,Engineer,Mexico,7,Instagram,0,8,8,Single,1,4
18,Male,Engineer,Mexico,5,Instagram,0,4,9,Single,0,3
19,Male,Engineer,Mexico,5,Instagram,0,8,9,Single,0,3
20,Female,Engineer,Mexico,5,Instagram,0,5,9,Single,1,3
21,Male,Engineer,Mexico,5,Instagram,0,7,8,Single,2,3
21,Female,Secondary,Mexico,3,Instagram,0,7,9,Single,1,2
22,Female,Engineer,Mexico,5,Instagram,0,9,9,Single,0,2
21,Female,Secondary,Mexico,3,Instagram,0,5,9,Single,0,1
80,Otro,Engineer,Mexico,9,Instagram,0,9,8,Single,4,5
79,Otro,Engineer,Mexico,9,Instagram,0,9,8,Single,4,5
23,Male,Engineer,Mexico,5,Instagram,0,4,9,Single,0,3
18,Female,Engineer,Mexico,5,Instagram,0,7,9,Single,2,3
21,Female,Secondary,Mexico,1.5,Instagram,0,4,9,Single,0,1
20,Male,Engineer,Mexico,5,Instagram,0,6,9,Single,0,3
18,Male,Engineer,Mexico,5,Instagram,0,9,10,Single,0,2
21,Female,Engineer,Mexico,1.5,Instagram,0,6,8,Single,3,2
18,Male,Engineer,Mexico,3,Instagram,0,6,9,Single,2,2
32,Female,Engineer,Mexico,5,Instagram,0,8,9,Single,0,3
20,Male,Engineer,Mexico,9,Instagram,0,7,8,Single,0,4
23,Male,Secondary,Mexico,0.5,Instagram,0,6,8,Single,2,2
25,Female,Secondary,Mexico,0.5,Instagram,0,7,8,Single,0,2
21,Female,Engineer,Mexico,5,Instagram,0,6,9,Single,0,3
20,Female,Secondary,Mexico,3,Instagram,0,5,9,Single,2,2
22,Female,Secondary,Mexico,5,Instagram,0,8,9,Single,0,2
25,Female,Secondary,Mexico,1.5,Instagram,0,6,8,Single,1,2
18,Male,Engineer,Mexico,7,Instagram,0,8,8,Single,1,4
18,Male,Engineer,Mexico,5,Instagram,0,7,9,Single,3,3
80,Otro,Engineer,Mexico,1.5,Instagram,0,8,9,Single,0,1
19,Male,Engineer,Mexico,3,Instagram,0,9,9,Single,0,3
22,Female,Engineer,Mexico,5,Instagram,0,6,9,Single,2,2
24,Male,Engineer,Mexico,3,Instagram,0,7,9,Single,0,3
21,Male,Engineer,Mexico,3,Instagram,0,5,8,Single,0,3
21,Male,Engineer,Mexico,9,Instagram,0,6,9,Single,0,4
19,Male,Engineer,Mexico,9,Instagram,0,9,8,Single,2,4
21,Female,Engineer,Mexico,3,Instagram,0,5,9,Single,2,2
21,Female,Engineer,Mexico,5,Instagram,0,7,9,Single,1,3
21,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,3,2
21,Female,Secondary,Mexico,3,Instagram,0,6,9,Single,3,2
21,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,3,2
22,Female,Secondary,Mexico,3,Instagram,0,7,9,Single,1,2
24,Male,Engineer,Mexico,5,Instagram,0,6,9,Single,2,3
25,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,2,2
25,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,2,2
21,Male,graduate,Mexico,1.5,Instagram,0,5,9,Single,0,1
25,Male,Engineer,Mexico,3,Instagram,0,6,9,Single,0,2
21,Male,Secondary,Mexico,3,Instagram,0,7,9,Single,0,2
21,Male,Engineer,Mexico,9,Instagram,0,6,9,Single,0,4
20,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,0,2
18,Female,Engineer,Mexico,9,Instagram,0,5,9,Single,2,4
16,Female,Engineer,Mexico,3,Instagram,0,8,9,Single,0,1
21,Male,Secondary,Mexico,5,Instagram,0,8,9,Single,0,3
17,Male,Engineer,Mexico,3,Instagram,0,8,9,Single,0,3
21,Otro,Secondary,Mexico,1.5,Instagram,0,6,9,Single,0,1
21,Female,Engineer,Mexico,3,Instagram,0,6,8,Single,2,3
18,Male,Engineer,Mexico,3,Instagram,0,8,8,Single,2,3
18,Female,Engineer,Mexico,5,Instagram,0,7,9,Single,2,3
21,Male,Engineer,Mexico,9,Instagram,0,6,9,Single,0,4
20,Female,Secondary,Mexico,7,Instagram,0,5,9,Single,2,3
14,Male,Engineer,Mexico,3,Instagram,0,4,9,Single,0,2
24,Male,Engineer,Mexico,5,Instagram,0,5,9,Single,3,2
18,Female,Engineer,Mexico,5,Instagram,0,7,9,Single,2,3
35,Male,Engineer,Mexico,3,Instagram,0,5,9,Single,0,2
25,Female,Engineer,Mexico,3,Instagram,0,5,9,Single,1,2
30,Male,Engineer,Mexico,1.5,Instagram,0,8,9,Single,0,1
20,Otro,Engineer,Mexico,5,Instagram,0,5,10,Single,1,2
22,Male,Engineer,Mexico,1.5,Instagram,0,6,9,Single,1,1
24,Female,Engineer,Mexico,3,Instagram,0,5,9,Single,0,2
21,Female,Engineer,Mexico,3,Instagram,0,4,9,Single,0,2
23,Male,Engineer,Mexico,1.5,Instagram,0,5,8,Single,1,1
18,Male,Engineer,Mexico,3,Instagram,0,6,9,Single,0,2
52,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,0,2
29,Female,Engineer,Mexico,1.5,Instagram,0,5,9,Single,0,1
34,Male,Engineer,Mexico,1.5,Instagram,0,7,9,Single,0,1
45,Male,Engineer,Mexico,1.5,Instagram,0,6,9,Single,0,1
15,Male,Engineer,Mexico,7,Instagram,0,7,9,Single,1,3
17,Male,Engineer,Mexico,5,Instagram,0,6,9,Single,2,3
22,Male,Engineer,Mexico,3,Instagram,0,8,8,Single,2,3
25,Female,Engineer,Mexico,3,Instagram,0,6,9,Single,0,2
19,Male,Engineer,Mexico,9,Instagram,0,8,8,Single,2,4
54,Female,Engineer,Mexico,1.5,Instagram,0,7,9,Single,0,1
21,Male,Engineer,Mexico,9,Instagram,0,4,10,Single,2,3
20,Male,Engineer,Mexico,5,Instagram,0,5,9,Single,0,3
18,Female,Engineer,Mexico,5,Instagram,0,6,9,Single,1,3
23,Male,Engineer,Mexico,7,Instagram,0,7,8,Single,1,4
20,Male,Engineer,Mexico,8,Instagram,0,6,0,Single,0,0
20,Female,Engineer,Mexico,6,Instagram,1,3,0,Complicated,0,0
20,Male,Engineer,Mexico,4,Instagram,0,6,0,Single,0,0
20,Male,Engineer,Mexico,1,YouTube,1,6,0,In a relationship,0,0
20,Male,Engineer,Mexico,10,TikTok,1,6,0,Single,0,0
20,Female,Engineer,Mexico,6,Instagram,0,6,0,Single,0,0
20,Male,Engineer,Mexico,6,WhatsApp,0,8,0,Single,0,0
21,Female,Engineer,Mexico,4,TikTok,0,6,0,Single,0,0
20,Male,Engineer,Mexico,3,Instagram,1,5,0,Single,0,0
19,Female,Engineer,Mexico,8,TikTok,1,7,0,In a relationship,0,0
21,Female,Engineer,Mexico,4,WhatsApp,0,5,0,Single,0,0
21,Male,Secondary,Mexico,8,WhatsApp,0,8,0,Single,0,0
22,Female,Engineer,Mexico,8,WhatsApp,0,5,0,Single,0,0
23,Male,Engineer,Mexico,5,TikTok,0,8,0,Single,0,0
22,Female,Engineer,Mexico,7,TikTok,0,7,0,Single,0,0
21,Male,Engineer,Mexico,4,Instagram,0,6,0,Single,0,0
22,Male,Engineer,Mexico,5,Instagram,1,7,0,Single,0,0
29,Female,Engineer,Mexico,10,WhatsApp,1,7,0,In a relationship,0,0
